SKU,SKU DESCRIPTION
D0IEBZX,IBM Storage Fusion Advanced Enterprise Virtual Processor Core for Data and AI per VPC License + SW Subscription & Support 12 Months
D0IEFZX,IBM Storage Fusion Advanced Enterprise Virtual Processor Core for Data and AI per VPC SW Subscription & Support Reinstatement 12 Months
D0I8UZX,IBM Storage Fusion Advanced Virtual Processor Core for Data and AI per VPC License + SW Subscription & Support 12 Months
D0I8WZX,IBM Storage Fusion Advanced Virtual Processor Core for Data and AI per VPC SW Subscription & Support Reinstatement 12 Months
E0I8TZX,IBM Storage Fusion Advanced Virtual Processor Core for Data and AI per VPC Annual SW S&S Renewal
E0IEAZX,IBM Storage Fusion Advanced Enterprise Virtual Processor Core for Data and AI per VPC Annual SW S&S Renewal
D0GKIZX,IBM Maximo IT per AppPoint License + SW Subscription & Support 12 Months
D0GKLZX,IBM Maximo IT per AppPoint SW Subscription & Support Reinstatement 12 Months
D0GKYZX,IBM Maximo IT Reserved per AppPoint SW Subscription & Support Reinstatement 12 Months
D0GKVZX,IBM Maximo IT Reserved per AppPoint License + SW Subscription & Support 12 Months
D0GL1ZX,IBM Maximo IT per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months
D0GL2ZX,IBM Maximo IT Reserved per AppPoint from Eligible Programs Trade Up Licence + SW Subscription & Support 12 Months
E0GKGZX,IBM Maximo IT per AppPoint Annual SW Subscription & Support Renewal
E0GKTZX,IBM Maximo IT Reserved per AppPoint Annual SW Subscription & Support Renewal
Z0632LL,IBM Cognos Controller SME Edition Install Advanced Support 12Mo
Z0634LL,IBM Cognos Controller Enterprise Edition Install Advanced Support 12Mo
Z08C0LL,IBM Cognos Controller SME Edition for Non-Production Environment Install Advanced Support 12Mo
Z08C2LL,IBM Cognos Controller Enterprise Edition for Non-Production Environment Install Advanced Support 12Mo
Z0JMKLL,IBM Cognos Controller Express Connector Install Advanced Support 12Mo
Z0JMMLL,IBM Cognos Controller Express Connector Non-Production Environment Install Advanced Support 12Mo
Z0JMPLL,IBM Cognos Controller Express Administrator Authorized User Advanced Support 12Mo
Z0JMRLL,IBM Cognos Controller Express User Authorized User Advanced Support 12Mo
Z0JMTLL,IBM Cognos Controller Advanced User Authorized User Advanced Support 12Mo
Z0JZSLL,InfoSphere Master Data Management RDM Hub for Financial Service Non- Production Install Advanced Support 12Mo
Z04MJZX,IBM Spectrum Protect Plus for IBM Cloud Pak for Multicloud Management Terabyte Advanced Support 12Mo
Z0LUELL,IBM Storage Protect Snapshot Terabyte (13-32) Advanced Support 12 Months
Z0DWFLL,IBM Spectrum Control Standard Select Edition Storage Device Advanced Support 12 Months
Z0LUDLL,IBM Storage Protect Snapshot Terabyte (1-12) Advanced Support 12 Months
Z0LUFLL,IBM Storage Protect Snapshot Terabyte (33-64) Advanced Support 12 Months
Z0LUGLL,IBM Storage Protect Snapshot Terabyte (65-100) Advanced Support 12 Months
Z0LUHLL,IBM Storage Protect Snapshot Terabyte (101-250) Advanced Support 12 Months
Z0LUILL,IBM Storage Protect Snapshot Terabyte (251+) Advanced Support 12 Months
Z0LULLL,IBM Storage Protect Suite - Archive Option Terabyte Advanced Support 12 Months
Z0LUMLL,IBM Storage Protect Suite Terabyte (2001+) Advanced Support 12 Months
Z0LUNLL,IBM Storage Protect Suite for IBM Z Terabyte (1-100) Advanced Support 12 Months
Z0LUQLL,IBM Storage Protect Suite for IBM Z Terabyte (251-500) Advanced Support 12 Months
Z0LURLL,IBM Storage Protect Suite for IBM Z Terabyte (501-750) Advanced Support 12 Months
Z0LUSLL,IBM Storage Protect Suite for IBM Z Terabyte (751-1250) Advanced Support 12 Months
Z0LUTLL,IBM Storage Protect Suite for IBM Z Terabyte (1251-2000) Advanced Support 12 Months
Z0LUPLL,IBM Storage Protect Suite for IBM Z Terabyte (101-250) Advanced Support 12 Months
Z0LUWLL,IBM Storage Protect Suite - Front End Terabyte (1-100) Advanced Support 12 Months
Z0LUXLL,IBM Storage Protect Suite - Front End Terabyte (101-250) Advanced Support 12 Months
Z0LUYLL,IBM Storage Protect Suite - Front End Terabyte (251-500) Advanced Support 12 Months
Z0LUZLL,IBM Storage Protect Suite - Front End Terabyte (501-750) Advanced Support 12 Months
Z0LUULL,IBM Storage Protect Suite for IBM Z Terabyte (2001+) Advanced Support 12 Months
Z0LUVLL,IBM Storage Protect Suite Entry Terabyte (1-100) Advanced Support 12 Months
Z0LV0LL,IBM Storage Protect Suite - Front End Terabyte (751-1250) Advanced Support 12 Months
Z0LV1LL,IBM Storage Protect Suite - Archive Option Terabyte Advanced Support 12 Months
Z0LV4LL,IBM Storage Protect Suite - Front End Terabyte (1251-2000) Advanced Support 12 Months
Z0LV5LL,IBM Storage Protect Suite - Front End Terabyte (2001+) Advanced Support 12 Months
Z0LV6LL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (1-100) Advanced Support 12 Months
Z0LV7LL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (101-250) Advanced Support 12 Months
Z0LV8LL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (251-500) Advanced Support 12 Months
Z0LV9LL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (501-750) Advanced Support 12 Months
Z0LVALL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (751-1250) Advanced Support 12 Months
Z0LVDLL,IBM Storage Protect Suite Entry - Front End Terabyte (1-100) Advanced Support 12 Months
Z0LVBLL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (1251-2000) Advanced Support 12 Months
Z0LVCLL,IBM Storage Protect Suite - Front End for Linux on IBM Z Terabyte (2001+) Advanced Support 12 Months
Z0LVXLL,IBM Spectrum Protect for Workstations 25 Client Devices Advanced Support 12 Months
Z0LVGLL,IBM Storage Protect 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LVJLL,IBM Storage Protect for Linux on IBM Z 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LVULL,IBM Storage Protect for Enterprise Resource Planning 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LVVLL,IBM Storage Protect for Mail 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LVWLL,IBM Storage Protect for Mail for Linux on IBM Z 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LVYLL,IBM Spectrum Protect for Workstations - Starter Edition Client Device Advanced Support 12 Months
Z0LVZLL,IBM Storage Protect for SAN 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LW0LL,IBM Storage Protect for SAN Client Device Advanced Support 12 Months
Z0LW1LL,IBM Storage Protect for SAN 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LW2LL,IBM Storage Protect for Virtual Environments 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LW3LL,IBM Storage Protect for Space Management 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LW4LL,IBM Storage Protect Suite Terabyte (1-100) Advanced Support 12 Months
Z0LW5LL,IBM Storage Protect Suite Terabyte (101-250) Advanced Support 12 Months
Z0LW7LL,IBM Storage Protect Suite Terabyte (501-750) Advanced Support 12 Months
Z0LW8LL,IBM Storage Protect Suite Terabyte (751-1250) Advanced Support 12 Months
Z0LW6LL,IBM Storage Protect Suite Terabyte (251-500) Advanced Support 12 Months
Z0LW9LL,IBM Storage Protect Suite Terabyte (1251-2000) Advanced Support 12 Months
Z0LWALL,IBM Storage Protect for Databases for Linux on IBM Z 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LWBLL,IBM Storage Protect for Databases 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LWCLL,IBM Storage Protect for Data Retention Terabyte (1-12) Advanced Support 12 Months
Z0LWDLL,IBM Storage Protect for Data Retention Terabyte (13-32) Advanced Support 12 Months
Z0LWELL,IBM Storage Protect for Data Retention Terabyte (33-64) Advanced Support 12 Months
Z0LWHLL,IBM Storage Protect for Data Retention Terabyte (65-100) Advanced Support 12 Months
Z0LWFLL,IBM Storage Protect Client Device Advanced Support 12 Months
Z0LWGLL,IBM Storage Protect Extended Edition 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LWILL,IBM Storage Protect for Data Retention Terabyte (101-250) Advanced Support 12 Months
Z0LWJLL,IBM Storage Protect for Data Retention Terabyte (251+) Advanced Support 12 Months
Z0LWKLL,IBM Storage Protect Extended Edition for Linux on IBM Z 10 Processor Value Units (PVUs) Advanced Support 12 Months
Z0LWLLL,IBM Storage Protect Extended Edition Client Device Advanced Support 12 Months
Z0MNWLL,IBM Spectrum Control Storage Capacity Unit (1-100) Advanced Support 12 Months
Z0MNXLL,IBM Spectrum Control Storage Capacity Unit (101-250) Advanced Support 12 Months
Z0MNYLL,IBM Spectrum Control Storage Capacity Unit (251-500) Advanced Support 12 Months
Z0MNZLL,IBM Spectrum Control Storage Capacity Unit (501-750) Advanced Support 12 Months
Z0MP0LL,IBM Spectrum Control Storage Capacity Unit (751-1250) Advanced Support 12 Months
Z0MP1LL,IBM Spectrum Control Storage Capacity Unit (1251-2000) Advanced Support 12 Months
Z0MP2LL,IBM Spectrum Control Storage Capacity Unit (2001+) Advanced Support 12 Months
Z0N0MLL,IBM Storage Copy Data Management Terabyte Advanced Support 12 Months
Z0NS3LL,IBM Storage Copy Data Management 10 Managed Terabyte Advanced Support 12 Months
Z0NWDLL,IBM Storage Protect Suite - IBM Cloud Object Storage Option Managed Terabyte Advanced Support 12 Months
Z0NXKLL,IBM Storage Protect Plus 10 Managed Virtual Servers Advanced Support 12 Months
Z0P83LL,IBM Storage Protect Plus Capacity Terabyte Advanced Support 12 Months
Z0NWCLL,IBM Storage Protect Suite - IBM Cloud Object Storage Option Managed Terabyte Advanced Support 12 Months
Z0R1YLL,IBM Storage Protect Suite FlatTB Terabyte Advanced Support 12 Months
Z0R1XLL,IBM Storage Protect Suite FlatTB Terabyte Advanced Support 12 Months
X066CLL,IBM Content Manager Enterprise Edition Employee User Value Unit Extended Support 12Mo
X07AALL,IBM Content Manager Enterprise Edition Employee for Linux on IBM Z User Value Unit Extended Support 12Mo
X07MNLL,IBM Content Manager Enterprise Edition Starter Pack Aurhorized User Value Unit Extended Support 12Mo
X0IUQLL,IBM Content Manager Enterprise Edition Eligible Participant Resource Value Unit Extended Support 12Mo
X0IUSLL,IBM Content Manager Enterprise Edition Processor Value Unit (PVU) Extended Support 12Mo
X0IUTLL,IBM Content Manager Enterprise Edition Non-Production Environment Processor Value Unit (PVU) Extended Support 12Mo
X0R6VLL,IBM Content Manager Enterprise Edition for IBM Z Virtual Processor Core Extended Support 12Mo
X0KX9LL,IBM Content Manager Enterprise Edition Non-Production Environment for Linux on IBM Z Processor Value Unit (PVU) Extended Support 12Mo
D0GQ0ZX,IBM watsonx Code Assistant for Z for IBM Z Authorized User License + SW Subscription & Support 12 Months
D0GQ4ZX,IBM watsonx Code Assistant for Z for IBM Z Authorized User SW Subscription & Support Reinstatement 12 Months
D0GQEZX,IBM watsonx Code Assistant for Z for IBM Z Virtual Server License + SW Subscription & Support 12 Months
D0GQIZX,IBM watsonx Code Assistant for Z for IBM Z Virtual Server SW Subscription & Support Reinstatement 12 Months
E0GPZZX,IBM watsonx Code Assistant Z for IBM Z Authorized User Annual SW Subscription & Support Renewal
E0GQDZX,IBM watsonx Code Assistant for Z for IBM Z Virtual Server Annual SW Subscription & Support Renewal
Z03D5ZX,IBM Cognos Analytics Explorer Modernization Authorized User Advanced Support 12Mo
Z03EZZX,IBM Cognos Analytics User Modernization for IBM Z Virtual Processor Core Advanced Support 12Mo
Z0K31LL,Cognos Analytics Administrator  for Linux on IBM Z Authorized User Advanced Support 12 Months
Z03EGZX,IBM Cognos Analytics User Modernization Authorized User Advanced Support 12Mo
D0HCPZX,IBM Planning Analytics Demand Planning Add on Application LIC + SW S&S 12 MO
D0HCRZX,IBM Planning Analytics Demand Planning Add on Application SW S&S Reinstate 12 Mo
D0HCUZX,IBM Planning Analytics Demand Planning Add on for Linux on IBM Z Application LIC + SW S&S 12 MO
D0HCWZX,IBM Planning Analytics Demand Planning Add on for Linux on IBM Z Application SW S&S Reinstate 12 Mo
D0HCZZX,IBM Planning Analytics Financial Planning and Reporting Add on Application LIC + SW S&S 12 MO
D0HD1ZX,IBM Planning Analytics Financial Planning and Reporting Add on Application SW S&S Reinstate 12 Mo
D0HD4ZX,IBM Planning Analytics Financial Planning and Reporting Add on for Linux on IBM Z Application LIC + SW S&S 12 MO
D0HD6ZX,IBM Planning Analytics Financial Planning and Reporting Add on for Linux on IBM Z Application SW S&S Reinstate 12 Mo
D0HD9ZX,IBM Planning Analytics Project - IT Planning Add on Application LIC + SW S&S 12 MO
D0HDBZX,IBM Planning Analytics Project - IT Planning Add on Application SW S&S Reinstate 12 Mo
D0HDEZX,IBM Planning Analytics Project - IT Planning Add on for Linux on IBM Z Application LIC + SW S&S 12 MO
D0HDGZX,IBM Planning Analytics Project - IT Planning Add on for Linux on IBM Z Application SW S&S Reinstate 12 Mo
D0HDJZX,IBM Planning Analytics Workforce Planning Add on Application LIC + SW S&S 12 MO
D0HDLZX,IBM Planning Analytics Workforce Planning Add on Application SW S&S Reinstate 12 Mo
D0HDPZX,IBM Planning Analytics Workforce Planning Add on for Linux on IBM Z Application LIC + SW S&S 12 MO
D0HDRZX,IBM Planning Analytics Workforce Planning Add on for Linux on IBM Z Application SW S&S Reinstate 12 Mo
E0HDCZX,IBM Planning Analytics Project - IT Planning Add on for Linux on IBM Z Application Annual SW S&S Rnwl
E0HDHZX,IBM Planning Analytics Workforce Planning Add on Application Annual SW S&S Rnwl
E0HCMZX,IBM Planning Analytics Demand Planning Add on Application Annual SW S&S Rnwl
E0HCSZX,IBM Planning Analytics Demand Planning Add on for Linux on IBM Z Application Annual SW S&S Rnwl
E0HCXZX,IBM Planning Analytics Financial Planning and Reporting Add on Application Annual SW S&S Rnwl
E0HD2ZX,IBM Planning Analytics Financial Planning and Reporting Add on for Linux on IBM Z Application Annual SW S&S Rnwl
E0HD7ZX,IBM Planning Analytics Project - IT Planning Add on Application Annual SW S&S Rnwl
E0HDMZX,IBM Planning Analytics Workforce Planning Add on for Linux on IBM Z Application Annual SW S&S Rnwl
Z0HCXZX,IBM Planning Analytics Financial Planning and Reporting Add on Application Advanced Support 12Mo
Z0HD2ZX,IBM Planning Analytics Financial Planning and Reporting Add on for Linux on IBM Z Application Advanced Support 12Mo
Z0HD7ZX,IBM Planning Analytics Project - IT Planning Add on Application Advanced Support 12Mo
Z0HDCZX,IBM Planning Analytics Project - IT Planning Add on for Linux on IBM Z Application Advanced Support 12Mo
Z0HDHZX,IBM Planning Analytics Workforce Planning Add on Application Advanced Support 12Mo
Z0HDMZX,IBM Planning Analytics Workforce Planning Add on for Linux on IBM Z Application Advanced Support 12Mo
Z0HCMZX,IBM Planning Analytics Demand Planning Add on Application Advanced Support 12Mo
Z0HCSZX,IBM Planning Analytics Demand Planning Add on for Linux on IBM Z Application Advanced Support 12Mo
E0CR5LL,IBM Integration Bus Express Edition Processor Value Unit (PVU) Annual SW Subscription & Support Renewal
Z0C9PLL,Content Integrator Connection Connection Advanced Support 12 Months
D28BTLL,Lightbend Cloudflow Entry 1 to 50 vCPU 3rd party offering
D28BVLL,Lightbend Cloudflow Medium 101 to 200 vCPU 3rd party offering
D28BWLL,Lightbend Cloudflow Large 201 to 400 vCPU 3rd party offering
D28BXLL,Lightbend Cloudflow Extra Large 401 to 800 vCPU 3rd party offering
D28BULL,Lightbend Cloudflow Small 51 to 100 vCPU 3rd party offering
D28CALL,Personetics Engage Business Solution Medium 1M to 6M Digital Client 3rd party offering
D28CDLL,Personetics Engage Business Solution Large 6M to 15M Digital Client 3rd party offering
D28BYLL,Lightbend Cloudflow Extra Large Plus Over 800 vCPU 3rd party offering
D28C9LL,Personetics Engage Business Solution Small 1 to 1M Digital Client 3rd party offering
D28CELL,Personetics Engage Business Solution Extra large Over 15M Digital Client 3rd party offering
E0AMGLL,IBM Integration Bus Remote Adapter Deployment Idle Standby Processor Value Unit (PVU) Annual SW Subscription & Support Renewal
E0CR9LL,IBM Integration Bus Express Edition Processor Value Unit (PVU) for Linux on System z Annual SW Subscription & Support Renewal
Y0P39LL,IBM Maximo APM Data Model for E&U per Authorized User Sustained Support 12 Months
Z03DHZX,IBM Cognos Analytics Explorer Modernization Virtual Processor Core Advanced Support 12Mo
X09QHLL,SPSS Modeler Professional Authorized User for System Z Extended Support 12 Mo
X09QWLL,SPSS Modeler Professional Concurrent User for System Z Extended Support 12 Mo
Z09QHLL,SPSS Modeler Professional Authorized User for System Z Advanced Support 12 Mo
Z09QWLL,SPSS Modeler Professional Concurrent User for System Z Advanced Support 12 Mo
Z0K2ELL,Cognos Analytics Explorer  for Linux on IBM Z Authorized User Advanced Support 12 Months
Z0K33LL,IBM Cognos Analytics User for Linux on System z per Authorized User Advanced Support 12 Months
Z0M6BLL,Cognos Analytics Viewer for Linux on System z Authorized User Advanced Support 12 Months
D0I5VZX,IBM watsonx Code Assistant for Z for IBM Z Authorized User Trade Up from IBM Application Discovery and Delivery Intelligence for IBM Z Authorized User License + SW Subscription & Support 12 Months
D0I5WZX,IBM watsonx Code Assistant for Z for IBM Z Virtual Server Trade Up from IBM Application Discovery and Delivery Intelligence for IBM Z Virtual Server License + SW Subscription & Support 12 Months
D0I6YZX,IBM watsonx Code Assistant for Z for IBM Z Authorized User Trade Up from IBM Application Discovery for IBM Z Authorized User License + SW Subscription & Support 12 Months
D0I6ZZX,IBM watsonx Code Assistant for Z for IBM Z Virtual Server Trade Up from IBM Application Discovery for IBM Z Virtual Server License + SW Subscription & Support 12 Months
Z0J1ILL,IBM DevOps Deploy Session Simultaneous Session Advanced Support 12Mo
Z0JRRLL,IBM DevOps Deploy Session for zOS Workloads Simultaneous Session Advanced Support 12Mo
E0KPYLL,IBM Now Factory Sourceworks Data Collector Software for Non-Production Install Annual SW Subscription & Support Renewal
E0KRWLL,IBM Financial Transaction Manager for Check Services Virtual Server Annual SW Subscription & Support Renewal
E0LTSLL,IBM Financial Transaction Manager for Check Services for Linux on z Systems Virtual Server Annual SW Subscription & Support Renewal
E0LMPLL,IBM Now Factory Sourceworks for Virtual Networks Resource Value Unit Annual SW Subscription & Support Renewal 12 Months
E0N29LL,IBM Maximo Asset Management Scheduler Plus per Resource Value Unit Annual SW Subscription & Support Renewal
E0N2ALL,IBM Maximo Asset Management Scheduler Plus per Resource Value Unit Linux on Z System Annual SW Subscription & Support Renewal
E0NSDLL,IBM Maximo Asset Management Scheduler Plus per Authorized User Annual SW Subscription & Support Renewal
E0NSGLL,IBM Maximo Asset Management Scheduler Plus per Concurrent User Linux z System Annual SW Subscription & Support Renewal
E0NSHLL,IBM Maximo Graphical Appointment Book for Scheduler Plus per Authorized User Annual SW Subscription & Support Renewal
E0NSILL,IBM Maximo Graphical Appointment Book for Scheduler Plus per Concurrent User Annual SW Subscription & Support Renewal
E0NSJLL,IBM Maximo Graphical Appointment Book for Scheduler Plus per Authorized User Linux z System Annual SW Subscription & Support Renewal
E0NSKLL,IBM Maximo Graphical Appointment Book for Scheduler Plus per Concurrent User Linux z System Annual SW Subscription & Support Renewal
E0NSELL,IBM Maximo Asset Management Scheduler Plus per Concurrent User Annual SW Subscription & Support Renewal
E0NSFLL,IBM Maximo Asset Management Scheduler Plus per Authorized User Linux z System Annual SW Subscription & Support Renewal
E0PR2LL,IBM Cloud Pak System W3550 Enhanced Storage Expansion 9840-AE3 Appliance Install Annual Appliance Maintenance + Subscription and Support Renewal
E0R27LL,Sysdig Platform Enterprise Agent for IBM Cloud Pak for Multicloud Management Managed Virtual Server SW Subscription and Support Renewal 12 Months
